product_id,product_name,life_cycle_stage,material_type,quantity_kg,carbon_impact,energy_impact,water_impact,waste_generated_kg,recycling_rate,landfill_rate,incineration_rate
P016,Concrete Block,Manufacturing,Concrete,15.0,2.1,22.5,900.0,0.75,0.1,0.8,0.1
P016,Concrete Block,Transportation,Concrete,15.0,0.44999999999999996,4.5,0.0,0.0,0.0,0.0,0.0
P016,Concrete Block,End-of-Life,Concrete,15.0,1.2,12.0,300.0,15.0,0.1,0.8,0.1
P017,Clay Roof Tile,Manufacturing,Clay,2.0,2.8,28.0,80.0,0.2,0.2,0.7,0.1
P017,Clay Roof Tile,Transportation,Clay,2.0,1.2,12.0,0.0,0.0,0.0,0.0,0.0
P017,Clay Roof Tile,End-of-Life,Clay,2.0,0.8,8.0,16.0,2.0,0.2,0.7,0.1
P018,Aluminum Window Frame,Manufacturing,Aluminum,15.0,37.5,375.0,3000.0,0.75,0.85,0.1,0.05
P018,Aluminum Window Frame,Transportation,Aluminum,15.0,9.0,90.0,600.0,0.0,0.0,0.0,0.0
P018,Aluminum Window Frame,End-of-Life,Aluminum,15.0,1.5,15.0,120.0,15.0,0.85,0.1,0.05
P019,Steel Roof Panel,Manufacturing,Steel,80.0,144.0,1600.0,12000.0,4.0,0.9,0.05,0.05
P019,Steel Roof Panel,Transportation,Steel,80.0,40.0,400.0,2400.0,0.0,0.0,0.0,0.0
P019,Steel Roof Panel,End-of-Life,Steel,80.0,8.0,80.0,800.0,80.0,0.9,0.05,0.05
P020,Wood Stud,Manufacturing,Wood,30.0,24.0,240.0,2400.0,1.5,0.8,0.15,0.05
P020,Wood Stud,Transportation,Wood,30.0,9.0,90.0,0.0,0.0,0.0,0.0,0.0
P020,Wood Stud,End-of-Life,Wood,30.0,12.0,120.0,600.0,30.0,0.8,0.15,0.05
